"Var1"	"Var2"	"Freq"
"ENCFF770MAV"	"ENCFF770MAV"	1
"ENCFF779OCC"	"ENCFF770MAV"	0.937582553025954
"ENCFF770MAV"	"ENCFF779OCC"	0.937582553025954
"ENCFF779OCC"	"ENCFF779OCC"	1
