"TaskID"	"GroupIDs"	"GSE"	"SelectedAccession"	"SRAQueryIDs"	"SRR"	"Experiment"	"RunInfoSample"	"LibraryName"	"LibraryLayout"	"ENAFastqURL"	"ExpectedMD5"	"ExpectedBytes"	"ResolutionState"	"Detail"
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574837"	"28360667"	"SRR25179878"	"SRX20927816"	"GSM7574837"	"GSM7574837"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/078/SRR25179878/SRR25179878_1.fastq.gz"	"72f0005f0527445fb0dc15b7f9f3454a"	"3342044964"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574837"	"28360667"	"SRR25179878"	"SRX20927816"	"GSM7574837"	"GSM7574837"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/078/SRR25179878/SRR25179878_2.fastq.gz"	"8c2e9a00246119ed98dc04ec4d7d63ee"	"3353145669"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574838"	"28360668"	"SRR25179877"	"SRX20927817"	"GSM7574838"	"GSM7574838"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/077/SRR25179877/SRR25179877_1.fastq.gz"	"65399ead81eef32b6c6a949b30aca37e"	"3567188697"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574838"	"28360668"	"SRR25179877"	"SRX20927817"	"GSM7574838"	"GSM7574838"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/077/SRR25179877/SRR25179877_2.fastq.gz"	"8193c8b08a836553c5d44ff83ccd24ca"	"3586578576"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574839"	"28360669"	"SRR25179876"	"SRX20927818"	"GSM7574839"	"GSM7574839"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/076/SRR25179876/SRR25179876_1.fastq.gz"	"543df180573ed62b8d4d345b02472507"	"3283271692"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE236746"	"KLA31_01"	"GSE236746"	"GSM7574839"	"28360669"	"SRR25179876"	"SRX20927818"	"GSM7574839"	"GSM7574839"	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/076/SRR25179876/SRR25179876_2.fastq.gz"	"e2afdc77725739f0338393951411a80e"	"3297993336"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505079"	"15573693"	"SRR15355247"	"SRX11657757"	"GSM5505079"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/047/SRR15355247/SRR15355247_1.fastq.gz"	"e716edd17a71dc71f80beea4790fdf4c"	"1613836443"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505079"	"15573693"	"SRR15355247"	"SRX11657757"	"GSM5505079"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/047/SRR15355247/SRR15355247_2.fastq.gz"	"8521cec40f3fd0276b0ac5a1c99e85c0"	"1762736101"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505081"	"15573695"	"SRR15355249"	"SRX11657759"	"GSM5505081"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/049/SRR15355249/SRR15355249_1.fastq.gz"	"f873c3aa7c033e082e5ca9ab261725e3"	"1681297910"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505081"	"15573695"	"SRR15355249"	"SRX11657759"	"GSM5505081"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/049/SRR15355249/SRR15355249_2.fastq.gz"	"bb309afaaf105b399d6ef0b2bb769966"	"1751993841"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505083"	"15573697"	"SRR15355251"	"SRX11657761"	"GSM5505083"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/051/SRR15355251/SRR15355251_1.fastq.gz"	"3f69d26513786ab64a9aada4a50dc2fb"	"1655103009"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505083"	"15573697"	"SRR15355251"	"SRX11657761"	"GSM5505083"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/051/SRR15355251/SRR15355251_2.fastq.gz"	"442adc5623aaa3daf428423795a014ca"	"1764284094"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505085"	"15573699"	"SRR15355253"	"SRX11657763"	"GSM5505085"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/053/SRR15355253/SRR15355253_1.fastq.gz"	"98527ce8dc367b4a9e416e628799dee1"	"1667751100"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505085"	"15573699"	"SRR15355253"	"SRX11657763"	"GSM5505085"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/053/SRR15355253/SRR15355253_2.fastq.gz"	"92b9c4c1214f9b5189701db64bd103e6"	"1738267749"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505087"	"15573701"	"SRR15355255"	"SRX11657765"	"GSM5505087"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/055/SRR15355255/SRR15355255_1.fastq.gz"	"61ead091c9658548873450a80475d234"	"1604472129"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505087"	"15573701"	"SRR15355255"	"SRX11657765"	"GSM5505087"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/055/SRR15355255/SRR15355255_2.fastq.gz"	"9aeb0e11603ef3526bd7fda1ccabdb11"	"1634393439"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505089"	"15573703"	"SRR15355257"	"SRX11657767"	"GSM5505089"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/057/SRR15355257/SRR15355257_1.fastq.gz"	"6ffd3f375b3ad7e45e1d8a3203b72a60"	"1614251657"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
"GEO_GSE181540"	"KLA31_03;KLA31_04"	"GSE181540"	"GSM5505089"	"15573703"	"SRR15355257"	"SRX11657767"	"GSM5505089"	""	"PAIRED"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR153/057/SRR15355257/SRR15355257_2.fastq.gz"	"a2f1181f743350609f0adb29070b402d"	"1667668109"	"resolved"	"SRA search was initiated with the selected GEO/SRA accession."
